user_id,is_threat
USER_0001,0
USER_0002,0
USER_0003,0
USER_0004,0
USER_0005,0
USER_0006,0
USER_0007,0
USER_0008,0
USER_0009,1
USER_0010,0
USER_0011,0
USER_0012,0
USER_0013,0
USER_0014,1
USER_0015,0
USER_0016,0
USER_0017,0
USER_0018,0
USER_0019,0
USER_0020,0
USER_0021,0
USER_0022,0
USER_0023,0
USER_0024,0
USER_0025,0
USER_0026,0
USER_0027,0
USER_0028,0
USER_0029,0
USER_0030,0
USER_0031,0
USER_0032,0
USER_0033,0
USER_0034,1
USER_0035,0
USER_0036,0
USER_0037,1
USER_0038,0
USER_0039,0
USER_0040,0
USER_0041,0
USER_0042,0
USER_0043,1
USER_0044,0
USER_0045,0
USER_0046,0
USER_0047,0
USER_0048,0
USER_0049,0
USER_0050,0
USER_0051,0
USER_0052,0
USER_0053,0
USER_0054,0
USER_0055,0
USER_0056,0
USER_0057,0
USER_0058,0
USER_0059,0
USER_0060,0
USER_0061,0
USER_0062,0
USER_0063,0
USER_0064,1
USER_0065,1
USER_0066,0
USER_0067,1
USER_0068,0
USER_0069,0
USER_0070,0
USER_0071,0
USER_0072,0
USER_0073,0
USER_0074,0
USER_0075,0
USER_0076,0
USER_0077,1
USER_0078,0
USER_0079,0
USER_0080,0
USER_0081,0
USER_0082,0
USER_0083,0
USER_0084,0
USER_0085,0
USER_0086,0
USER_0087,0
USER_0088,1
USER_0089,0
USER_0090,0
USER_0091,0
USER_0092,0
USER_0093,0
USER_0094,0
USER_0095,0
USER_0096,0
USER_0097,0
USER_0098,0
USER_0099,0
USER_0100,0
